iter	Passed	Remaining
517	1277	1188
518	1278	1184
519	1280	1181
520	1283	1179
521	1285	1177
522	1286	1173
523	1287	1169
524	1289	1166
525	1290	1163
526	1292	1160
527	1299	1161
528	1301	1158
529	1302	1155
530	1304	1152
531	1306	1148
532	1307	1145
533	1308	1142
534	1317	1145
535	1319	1142
536	1322	1139
537	1323	1136
538	1331	1138
539	1333	1135
540	1334	1132
541	1336	1129
542	1339	1126
543	1340	1123
544	1342	1120
545	1344	1117
546	1345	1114
547	1346	1110
548	1348	1108
549	1350	1104
550	1351	1101
551	1355	1100
552	1358	1097
553	1361	1096
554	1363	1093
555	1364	1089
556	1366	1086
557	1370	1085
558	1376	1085
559	1378	1083
560	1382	1082
561	1390	1084
562	1393	1081
563	1395	1078
564	1397	1075
565	1399	1072
566	1404	1072
567	1406	1069
568	1408	1066
569	1409	1063
570	1411	1060
571	1413	1057
572	1415	1054
573	1418	1052
574	1419	1049
575	1421	1046
576	1422	1042
577	1423	1039
578	1425	1036
579	1427	1033
580	1428	1029
581	1429	1026
582	1433	1025
583	1434	1021
584	1435	1018
585	1436	1014
586	1437	1011
587	1439	1008
588	1440	1004
589	1441	1001
590	1442	998
591	1443	994
592	1446	992
593	1447	989
594	1448	986
595	1450	982
596	1451	979
597	1452	976
598	1454	973
599	1454	969
600	1456	966
601	1457	963
602	1458	959
603	1459	956
604	1462	955
605	1464	951
606	1465	948
607	1466	945
608	1467	942
609	1469	939
610	1470	935
611	1471	932
612	1472	929
613	1473	926
614	1475	923
615	1477	921
616	1479	918
617	1480	915
618	1481	912
619	1482	908
620	1484	905
621	1485	902
622	1486	899
623	1487	896
624	1488	892
625	1490	890
626	1493	888
627	1494	885
628	1495	881
629	1496	878
630	1497	875
631	1498	872
632	1499	869
633	1500	866
634	1501	862
635	1502	859
636	1503	856
637	1505	854
638	1507	851
639	1509	848
640	1510	845
641	1511	843
642	1513	840
643	1515	837
644	1516	834
645	1517	831
646	1518	828
647	1519	825
648	1522	823
649	1523	820
650	1524	817
651	1526	814
652	1527	811
653	1528	808
654	1529	805
655	1530	802
656	1531	799
657	1532	796
658	1533	793
659	1535	791
660	1537	788
661	1538	785
662	1540	782
663	1541	779
664	1542	776
665	1543	773
666	1544	770
667	1545	768
668	1546	765
669	1547	762
670	1548	759
671	1550	756
672	1552	754
673	1553	751
674	1554	748
675	1556	745
676	1557	743
677	1558	740
678	1560	737
679	1561	734
680	1562	731
681	1566	730
682	1568	728
683	1570	725
684	1571	722
685	1572	720
686	1574	717
687	1575	714
688	1576	711
689	1582	710
690	1583	708
691	1584	705
692	1585	702
693	1586	699
694	1588	696
695	1589	694
696	1590	691
697	1591	688
698	1592	685
699	1596	684
700	1598	681
701	1599	679
702	1601	676
703	1602	673
704	1604	671
705	1605	668
706	1606	665
707	1608	663
708	1611	661
709	1613	658
710	1614	656
711	1615	653
712	1617	651
713	1618	648
714	1619	645
715	1621	642
716	1622	640
717	1624	637
718	1627	635
719	1628	633
720	1630	630
721	1634	629
722	1635	626
723	1637	624
724	1639	622
725	1642	619
726	1644	617
727	1645	614
728	1647	612
729	1648	609
730	1649	606
731	1650	604
732	1651	601
733	1653	599
734	1656	597
735	1658	594
736	1659	592
737	1660	589
738	1661	586
739	1662	584
740	1663	581
741	1665	579
742	1666	576
743	1667	573
744	1668	571
745	1671	569
746	1673	566
747	1674	564
748	1675	561
749	1677	559
750	1678	556
751	1679	554
752	1681	551
753	1682	549
754	1684	546
755	1686	544
756	1687	541
757	1688	539
758	1690	536
759	1691	534
760	1693	531
761	1694	529
762	1695	526
763	1697	524
764	1701	522
765	1702	520
766	1704	517
767	1705	515
768	1708	513
769	1710	510
770	1711	508
771	1712	505
772	1718	504
773	1719	502
774	1720	499
775	1722	497
776	1723	494
777	1725	492
778	1726	489
779	1728	487
780	1732	485
781	1733	483
782	1735	480
783	1736	478
784	1737	476
785	1739	473
786	1740	471
787	1742	468
788	1743	466
789	1748	464
790	1749	462
791	1751	459
792	1752	457
793	1754	455
794	1755	452
795	1757	450
796	1758	447
797	1764	446
798	1765	444
799	1767	441
800	1768	439
801	1770	437
802	1771	434
803	1773	432
804	1776	430
805	1778	428
806	1780	425
807	1785	424
808	1787	422
809	1791	420
810	1794	418
811	1796	416
812	1799	413
813	1802	411
814	1806	410
815	1808	407
816	1809	405
817	1811	403
818	1812	400
819	1814	398
820	1816	395
821	1817	393
822	1818	391
823	1821	389
824	1823	386
825	1825	384
826	1826	382
827	1828	379
828	1830	377
829	1831	375
830	1833	372
831	1835	370
832	1838	368
833	1840	366
834	1841	363
835	1844	361
836	1845	359
837	1847	357
838	1848	354
839	1852	352
840	1854	350
841	1855	348
842	1857	345
843	1859	343
844	1860	341
845	1862	338
846	1863	336
847	1866	334
848	1868	332
849	1870	330
850	1871	327
851	1873	325
852	1875	323
853	1876	320
854	1877	318
855	1884	316
856	1885	314
857	1887	312
858	1889	310
859	1891	307
860	1893	305
861	1897	303
862	1899	301
863	1901	299
864	1903	297
865	1904	294
866	1906	292
867	1907	290
868	1908	287
869	1911	285
870	1913	283
871	1915	281
872	1916	278
873	1918	276
874	1920	274
875	1921	272
876	1923	269
877	1926	267
878	1928	265
879	1930	263
880	1931	260
881	1934	258
882	1935	256
883	1937	254
884	1938	251
885	1941	249
886	1943	247
887	1946	245
888	1948	243
889	1950	241
890	1956	239
891	1960	237
892	1962	235
893	1964	232
894	1966	230
895	1968	228
896	1972	226
897	1974	224
898	1976	222
899	1978	219
900	1980	217
901	1982	215
902	1985	213
903	1989	211
904	1991	209
905	1993	206
906	1995	204
907	1997	202
908	2001	200
909	2004	198
910	2005	195
911	2007	193
912	2009	191
913	2011	189
914	2012	186
915	2016	184
916	2018	182
917	2020	180
918	2022	178
919	2024	176
920	2025	173
921	2027	171
922	2031	169
923	2033	167
924	2035	165
925	2038	162
926	2040	160
927	2041	158
928	2043	156
929	2047	154
930	2049	151
931	2051	149
932	2052	147
933	2054	145
934	2057	143
935	2058	140
936	2063	138
937	2064	136
938	2066	134
939	2068	132
940	2070	129
941	2071	127
942	2073	125
943	2077	123
944	2079	121
945	2082	118
946	2083	116
947	2085	114
948	2087	112
949	2092	110
950	2094	107
951	2095	105
952	2097	103
953	2098	101
954	2100	98
955	2102	96
956	2103	94
957	2107	92
958	2109	90
959	2110	87
960	2112	85
961	2114	83
962	2115	81
963	2117	79
964	2118	76
965	2122	74
966	2123	72
967	2125	70
968	2126	68
969	2128	65
970	2129	63
971	2131	61
972	2132	59
973	2134	56
974	2137	54
975	2139	52
976	2140	50
977	2141	48
978	2143	45
979	2144	43
980	2146	41
981	2147	39
982	2149	37
983	2151	34
984	2152	32
985	2154	30
986	2155	28
987	2157	26
988	2158	24
989	2160	21
990	2161	19
991	2162	17
992	2164	15
993	2165	13
994	2167	10
995	2168	8
996	2170	6
997	2171	4
998	2172	2
999	2174	0
